五笔码,字1,字2,字3,字4
a,工,,,
aa,式,,,
aaaa,恭恭敬敬,,,
aaab,葡萄节,,,
aaad,工期,,,
aaae,黄花菜,,,
aaaf,某某某,,,
aaag,工巧,,,
aaah,葡萄牙,,,
aaai,芦苇荡,,,
aaaj,芨芨草,,,
aaak,工勤,,,
aaal,花花世界,,,
aaam,苔薄黄,,,
aaan,工艺,,,
aaao,东莞鞋业,,,
aaap,菠萝菠萝蜜,,,
aaaq,工区,,,
aaar,工匠,,,
aaat,菠萝莓,,,
aaau,工薪,,,
aaav,切切切,,,
aaaw,茉莉花,,,
aaax,藏医药,,,
aaay,劳苦功高,,,
aabb,葵花子,,,
aabc,东莞联通,,,
aabd,萨莫耶德犬,,,
aabg,草草了事,,,
aabi,芙蓉出水,,,
aabj,东革阿里,,,
aabm,东莞阳光网,,,
aabn,工薪阶层,,,
aabp,区医院,,,
aabq,芽孢,,,
aabs,蓝牙耳机,,,
aabt,萨菲隆,,,
aabu,茕茕孑立,,,
aabw,戒除,,,
aacb,蔓草难除,,,
aace,萌萌熊,,,
aacf,蓝牙驱动,,,
aaci,荷荷巴油,,,
aack,菊花台,,,
aacn,萨其马,,,
aaco,工艺参数,,,
aacq,芦花鸡,,,
aacw,草莓圣代,,,
aacy,警世通言,,,
aada,斯芬克斯,,,
aadb,其黄而陨,,,
aadc,工友,,,
aadd,工大,,,
aade,草莓面膜,,,
aadf,落荒而走,,,
aadg,工厂,,,
aadh,散落在,,,
aadi,落荒而逃,,,
aadj,葡萄成熟时,,,
aadk,匿,,,
aadm,戒面,,,
aadn,葚,慝,,
aado,葡萄灰,,,
aadp,芙蕾达,,,
aadq,艾萨克,,,
aads,蔬菜大棚,,,
aadt,东莞厚街,,,
aadu,落花有意,,,
aadv,黄花大闺女,,,
aadw,劳苦大众,萁,,
aadx,茵蒂克丝,,,
aady,落落大方,,,
aaeb,花花肠子,,,
aaec,葡萄胎,,,
aaeg,莲花县,,,
aaei,勤工助学,,,
aaem,医药股,,,
aaeo,草甘膦,,,
aaep,戒爱,,,
aaet,节节胜利,,,
aaeu,萧敬腾,,,
aaey,薄荷脑,,,
aaf,苷,,,
aafa,艾斯塔,,,
aafb,工地,,,
aafc,蘑菇云,,,
aafd,甙,,,
aafg,葡萄干,,,
aafh,苏东坡,,,
aafi,蓬荜增辉,,,
aafk,莎莉嘉,,,
aafl,蔬菜运输,,,
aafm,东莞教育网,,,
aafn,工场,,,
aafp,戒过,,,
aafq,东莞地铁,,,
