method,file,scheme,global_gc_percent,local_gc_min_percent,local_gc_max_percent,gc_fluctuation_range
CMC,繁体版出師表,B方案(繁转简),50.0000,45.00,55.00,10.00
CMC,繁体版出師表,A方案(繁体直编),50.0000,45.00,55.00,10.00
CMC,背影,简体存储,50.0000,45.00,55.00,10.00
YYC,繁体版出師表,,54.9548,12.50,100.00,87.50
YYC,背影,,57.6966,22.22,100.00,77.78
DNA Fountain,繁体版出師表,,50.9695,34.00,68.00,34.00
DNA Fountain,背影,,51.2859,32.00,68.00,36.00
HEDGES,繁体版出師表,,50.1451,16.67,75.00,58.33
HEDGES,背影,,50.5595,16.67,83.33,66.66
DRRC,繁体版出師表,,50.3584,42.67,56.00,13.33
DRRC,背影,,50.3358,43.33,56.67,13.34
