五笔码,字1,字2,字3,字4
aat,蕘,,,
ab,節,,,
abe,蔭,,,
abe,廕,,,
abiu,蓀,,,
abu,薩,,,
aca,莖,,,
acbm,蕷,,,
adh,薦,,,
adl,藶,,,
adm,項,,,
admt,蕆,,,
adx,蘢,,,
afa,韉,,,
afcu,蕓,,,
afdp,韃,,,
afff,韝,,,
afm,貳,,,
afn,葦,,,
afqb,蕪,,,
aftj,鞽,,,
afu,薔,,,
aga,荊,,,
agmm,顢,,,
ago,萊,,,
agu,蘋,,,
aguw,莢,,,
ahkm,頤,,,
ahkm,賾,,,
ahnh,臥,,,
ahtg,鴉,,,
ai,東,,,
aib,範,,,
ain,蕩,,,
ain,盪,,,
aiq,鶇,,,
aj,劃,,,
ajdc,驀,,,
ajfu,蒔,,,
ajqg,鵲,,,
ajt,藍,,,
aju,繭,,,
akgq,覲,,,
akh,匱,,,
akhm,蕢,,,
akk,顴,,,
akkg,鸛,,,
akm,萵,,,
aldt,衊,,,
alp,蓮,,,
alq,蘿,,,
alqg,鶓,,,
alv,匭,,,
alw,蘇,,,
alw,囌,,,
alw,甦,,,
am,貢,,,
amq,莧,,,
amw,黃,,,
amy,鞏,,,
anb,藝,,,
anm,貰,,,
anud,蕒,,,
anyu,藎,,,
aov,蔞,,,
aovt,藪,,,
apff,塋,,,
apg,懞,,,
apg,濛,,,
apg,矇,,,
apgf,苧,,,
apgy,瑩,,,
api,滎,,,
apj,螢,,,
apk,營,,,
apl,勞,,,
aplj,葷,,,
apn,煢,,,
apo,熒,,,
apq,鶯,,,
apqf,鎣,,,
apr,犖,,,
aps,榮,,,
apx,縈,,,
aq,區,,,
aqgd,蘚,,,
aqgj,薊,,,
aqgn,甌,,,
aqm,毆,,,
aqq,歐,,,
aqqg,鷗,,,
aqrn,蔥,,,
aqt,獲,,,
aqtn,蕕,,,
aqyg,鳶,,,
aqyg,蔦,,,
ata,萇,,,
atd,醫,,,
atdj,蕎,,,
atgn,翹,,,
atgq,堯,,,
aujr,蘄,,,
